sat.id,ISL0,ISL1,ISL2,ISL3,count_ISL0,count_ISL1,count_ISL2,count_ISL3
0,0.0,0.0,0.0,0.0,50,376,273,0
1,0.0,0.0,0.0,0.0,36,91,31,0
2,0.0,0.0,0.0,0.0,33,54,6,0
3,0.0,0.0,0.0,0.0,25,70,0,0
4,0.0,0.0,0.0,0.0,23,52,6,0
5,0.0,0.0,0.0,0.0,24,16,5,0
6,0.0,0.0,0.0,0.0,20,10,5,0
7,0.0,0.0,0.0,0.0,26,10,7,0
8,0.0,0.0,0.0,0.0,28,9,63,0
9,0.0,0.0,0.0,0.0,28,40,19,0
10,0.0,0.0,0.0,0.0,67,63,34,0
11,0.0,0.0,0.0,0.0,61,54,1,0
12,0.0,0.0,0.0,0.0,85,70,5,0
13,0.0,0.0,0.0,0.0,272,92,148,0
14,0.0,0.0,0.0,0.0,508,196,414,0
15,0.0,0.0,0.0,0.0,387,273,344,0
16,0.0,0.0,0.0,0.0,53,74,267,306
17,0.0,0.0,0.0,0.0,20,91,74,31
18,0.0,0.0,0.0,0.0,28,22,17,14
19,0.0,0.0,0.0,0.0,21,29,3,1
20,0.0,0.0,0.0,0.0,17,28,3,1
21,0.0,0.0,0.0,0.0,15,21,7,1
22,0.0,0.0,0.0,0.0,15,9,10,6
23,0.0,0.0,0.0,0.0,72,3,72,6
24,0.0,0.0,0.0,0.0,22,76,48,37
25,0.0,0.0,0.0,0.0,18,60,27,6
26,0.0,0.0,0.0,0.0,62,64,58,11
27,0.0,0.0,0.0,0.0,94,45,4,0
28,0.0,0.0,0.0,0.0,133,49,13,5
29,0.0,0.0,0.0,0.0,199,99,244,80
30,0.0,0.0,0.0,0.0,283,142,633,302
31,0.0,0.0,0.0,0.0,53,178,744,209
32,0.0,0.0,0.0,0.0,255,496,388,318
33,0.0,0.0,0.0,0.0,220,423,242,76
34,0.0,0.0,0.0,0.0,50,327,122,35
35,0.0,0.0,0.0,0.0,40,36,2,2
36,0.0,0.0,0.0,0.0,31,38,3,0
37,0.0,0.0,0.0,0.0,21,32,16,6
38,0.0,0.0,0.0,0.0,22,22,14,11
39,0.0,0.0,0.0,0.0,29,18,91,68
40,0.0,0.0,0.0,0.0,23,43,61,20
41,0.0,0.0,0.0,0.0,22,26,25,8
42,0.0,0.0,0.0,0.0,45,27,43,24
43,0.0,0.0,0.0,0.0,65,40,8,9
44,0.0,0.0,0.0,0.0,129,59,22,12
45,0.0,0.0,0.0,0.0,140,102,277,173
46,0.0,0.0,0.0,0.0,197,135,673,436
47,0.0,0.0,0.0,0.0,500,148,831,467
48,0.0,0.0,0.0,0.0,448,328,289,504
49,0.0,0.0,0.0,0.0,417,759,387,223
50,0.0,0.0006901311249137336,0.0,0.0,169,729,207,126
51,0.0,0.0,0.0,0.0,119,162,1,2
52,0.0,0.0,0.0,0.0,99,59,8,1
53,0.0,0.0,0.0,0.0,71,47,34,15
54,0.0,0.0,0.0,0.0,56,41,18,23
55,0.0,0.0,0.0,0.0,46,36,84,88
56,0.0,0.0,0.0,0.0,27,38,76,42
57,0.0,0.0,0.0,0.0,31,33,20,13
58,0.0,0.0,0.0,0.0,39,40,44,31
59,0.0,0.0,0.0,0.0,52,68,24,10
60,0.0,0.0,0.0,0.0,275,103,33,21
61,0.0,0.0,0.0,0.0,343,224,317,238
62,0.0,0.0,0.0,0.0,309,270,632,552
63,0.0,0.0,0.02691511387163561,0.0,301,234,1068,578
64,0.0,0.0,0.0,0.0,412,320,222,338
65,0.0,0.0,0.0,0.0,375,717,308,289
66,0.0,0.0,0.0,0.0,162,587,185,153
67,0.0,0.0,0.0,0.0,115,171,3,2
68,0.0,0.0,0.0,0.0,86,124,10,9
69,0.0,0.0,0.0,0.0,85,83,39,39
70,0.0,0.0,0.0,0.0,90,47,12,28
71,0.0,0.0,0.0,0.0,65,56,68,103
72,0.0,0.0,0.0,0.0,73,21,69,64
73,0.0,0.0,0.0,0.0,61,44,19,17
74,0.0,0.0,0.0,0.0,67,58,43,53
75,0.0,0.0,0.0,0.0,188,88,17,24
76,0.0,0.0,0.0,0.0,332,149,29,28
77,0.0,0.0,0.0,0.0,688,274,358,355
78,0.0,0.0,0.0,0.0,612,538,564,640
79,0.0,0.0,0.0,0.0717736369910283,284,415,986,939
80,0.0,0.0,0.0,0.0,236,178,242,195
81,0.0,0.0,0.0,0.0,195,287,187,256
82,0.0,0.0,0.0,0.0,132,221,125,120
83,0.0,0.0,0.0,0.0,89,202,3,2
84,0.0,0.0,0.0,0.0,93,216,7,10
85,0.0,0.0,0.0,0.0,158,104,27,62
86,0.0,0.0,0.0,0.0,136,32,11,21
87,0.0,0.0,0.0,0.0,20,42,68,121
88,0.0,0.0,0.0,0.0,60,13,36,76
89,0.0,0.0,0.0,0.0,60,73,15,25
90,0.0,0.0,0.0,0.0,113,88,30,70
91,0.0,0.0,0.0,0.0,268,127,14,26
92,0.0,0.0,0.0,0.0,464,220,13,30
93,0.008971704623878538,0.0,0.0,0.0,757,337,236,431
94,0.0,0.0,0.0,0.0,631,525,319,609
95,0.0,0.0,0.0,0.008971704623878536,243,425,501,880
96,0.0,0.0,0.0,0.0,66,232,58,186
97,0.0,0.0,0.0,0.0,87,86,151,247
98,0.0,0.0,0.0,0.0,101,126,63,120
99,0.0,0.0,0.0,0.0,58,183,1,3
100,0.0,0.0,0.0,0.0,48,185,3,10
101,0.0,0.0,0.0,0.0,43,37,14,26
102,0.0,0.0,0.0,0.0,40,16,5,10
103,0.0,0.0,0.0,0.0,38,15,33,70
104,0.0,0.0,0.0,0.0,38,36,17,63
105,0.0,0.0,0.0,0.0,28,60,10,22
106,0.0,0.0,0.0,0.0,71,67,9,52
107,0.0,0.0,0.0,0.0,165,84,4,15
108,0.0,0.0,0.0,0.0,225,135,5,20
109,0.0,0.0,0.0,0.0,474,194,35,221
110,0.0,0.0,0.0,0.0,404,341,38,334
111,0.0,0.0,0.0,0.0,272,275,363,418
112,0.0,0.0,0.0,0.0,227,427,0,38
113,0.0,0.0,0.0,0.0,136,453,0,181
114,0.0,0.0,0.0,0.0,47,255,0,82
115,0.0,0.0,0.0,0.0,37,64,0,1
116,0.0,0.0,0.0,0.0,29,36,0,5
117,0.0,0.0,0.0,0.0,26,32,0,6
118,0.0,0.0,0.0,0.0,24,22,0,5
119,0.0,0.0,0.0,0.0,25,22,0,31
120,0.0,0.0,0.0,0.0,11,36,0,31
121,0.0,0.0,0.0,0.0,18,43,0,12
122,0.0,0.0,0.0,0.0,38,34,0,9
123,0.0,0.0,0.0,0.0,74,13,0,2
124,0.0,0.0,0.0,0.0,97,30,0,8
125,0.0,0.0,0.0,0.0,66,61,0,28
126,0.0,0.0,0.0,0.0,61,48,0,39
127,0.0,0.0,0.0,0.0,336,54,0,345
