sat.id,ISL0,ISL1,ISL2,ISL3,count_ISL0,count_ISL1,count_ISL2,count_ISL3
0,0.0,0.002530480791350357,0.021164021164021163,0.0,983,4052,3823,343
1,0.0,0.0,0.0,0.0,833,2051,869,1881
2,0.0,0.0,0.0,0.0,939,1364,402,2305
3,0.0,0.0,0.0,0.0,730,1521,68,572
4,0.0,0.0,0.0,0.0,531,1155,67,1049
5,0.0,0.0,0.0,0.0,457,447,123,718
6,0.0,0.0,0.0,0.0,607,327,109,390
7,0.0,0.0,0.0,0.0,1070,407,1071,395
8,0.0,0.0,0.0,0.0,1445,694,1204,452
9,0.0,0.0,0.0,0.0,1414,1263,169,347
10,0.00023004370830457787,0.0,0.0,0.0,2506,1307,599,964
11,0.00046008741660915573,0.0,0.0,0.0,2591,1436,84,865
12,0.7872095698182655,0.0,0.0,0.0,3814,1610,183,1717
13,40.334713595583196,0.0,0.0,0.0,8055,2011,3039,1991
14,69.48838279273085,0.0016103059581320453,34.06142167011733,0.0,8322,3194,7510,1888
15,0.0,0.025994939038417306,40.651713825626885,0.0,2088,4139,8106,958
16,0.0,0.0,7.402116402116403,0.005981136415919025,1173,2613,5644,4121
17,0.0,0.0,0.0,0.00023004370830457787,596,2372,2165,2572
18,0.0,0.0,0.0,0.0011502185415228894,653,900,748,2849
19,0.0,0.0,0.0,0.0,502,945,68,615
20,0.0,0.0,0.0,0.0,389,742,99,1082
21,0.0,0.0,0.0,0.0,376,381,227,874
22,0.0,0.0,0.0,0.0,505,276,227,453
23,0.0,0.0,0.0,0.0,1065,313,1853,1567
24,0.0,0.0,0.0,0.0,1228,750,2040,1457
25,0.0,0.0,0.0,0.0,1206,1138,383,473
26,0.0,0.0,0.0,0.0,2265,1180,1272,1266
27,0.0,0.0,0.0,0.0,2904,1536,244,1021
28,0.02760524499654934,0.0,0.0,0.0,4172,1812,564,1936
29,5.45318610536002,0.0,0.05751092707614446,0.019553715205889118,5809,2541,4722,3573
30,13.833678398895788,0.0,46.703703703703724,1.2666206579250054,6584,2942,8221,5281
31,0.0,0.0,70.2295836208882,0.0029905682079595123,2107,2544,8158,3382
32,0.0020703933747412005,0.00046008741660915573,35.37497124453647,2.777777777777778,3639,2724,7743,5520
33,0.0020703933747412005,33.83482861743731,1.534621578099838,0.005291005291005291,3473,7673,5408,3424
34,0.0,31.893259719346677,0.0050609615827007124,0.04600874166091557,1234,7737,3713,3389
35,0.0,0.0,0.0,0.0,1113,1165,117,620
36,0.0,0.0,0.0,0.0,1008,1060,109,1171
37,0.0,0.0,0.0,0.0,830,927,440,1051
38,0.0,0.0,0.0,0.0,809,690,390,524
39,0.0,0.0,0.0032206119162640906,0.0,772,600,2495,2420
40,0.0,0.0,0.0,0.0,689,666,2485,2078
41,0.0,0.0,0.0,0.0,712,634,477,609
42,0.0,0.0,0.0,0.0,1062,657,1324,1332
43,0.0,0.0,0.0,0.0,1713,900,510,1092
44,0.0011502185415228894,0.0,0.0,0.0,3594,1409,733,2198
45,0.008971704623878536,0.0,9.76098458707154,0.061651713825626876,4138,2087,5849,4460
46,0.09339774557165861,0.0,35.75155279503106,7.525649873475962,4864,2150,7663,5922
47,0.0025304807913503562,0.0,53.30641821946182,0.0025304807913503562,3826,1953,8132,3921
