sat.id,ISL0,ISL1,ISL2,ISL3,count_ISL0,count_ISL1,count_ISL2,count_ISL3
0,0.0,0.0,0.0,0.0,110009,22497,652433,0
1,0.0,0.0,0.0,0.0,73896,98553,30562,0
2,0.0,0.0,0.0,0.0,77486,67926,14046,0
3,0.0,0.0,0.0,0.0,60568,70802,1688,0
4,0.0,0.0,0.0,0.0,31174,53714,3351,0
5,0.0,0.0,0.0,0.0,29146,26349,4540,0
6,0.0,0.0,0.0,0.0,31035,25170,5294,0
7,0.0,0.0,0.0,0.0,53687,28461,71111,0
8,0.0,0.0,0.0,0.0,75043,73504,48148,0
9,0.0,0.0,0.0,0.0,86255,71923,15978,0
10,0.0,0.0,0.0,0.0,84506,79775,39093,0
11,0.0,0.0,0.0,0.0,94156,96618,3873,0
12,0.0,0.0,0.0,0.0,125043,106990,4277,0
13,0.0,0.0,0.0,0.0,242511,138620,181852,0
14,0.0,0.0,0.0,0.0,594192,319767,281324,0
15,0.0,0.0,0.0,0.0,524342,643598,169906,0
16,0.0,0.0,6.901311249137336e-06,0.0,113780,818761,1005494,163391
17,0.0,0.0,0.0,0.0,47170,113196,73963,26832
18,0.0,0.0,0.0,0.0,44535,81457,21548,14858
19,0.0,0.0,0.0,0.0,39050,46623,2375,2371
20,0.0,0.0,0.0,0.0,24217,38129,4779,2562
21,0.0,0.0,0.0,0.0,20907,24411,9118,4194
22,0.0,0.0,0.0,0.0,21734,22652,8666,4554
23,0.0,0.0,0.0,0.0,41638,22499,136753,49366
24,0.0,0.0,0.0,0.0,65516,69130,72502,71351
25,0.0,0.0,0.0,0.0,71221,67552,30600,19698
26,0.0,0.0,0.0,0.0,95279,78938,57752,22207
27,0.0,0.0,0.0,0.0,128612,98431,9679,3744
28,0.0,0.0,0.0,0.0,176243,129944,13089,4587
29,0.0,0.0,0.0,0.0,302040,181482,200880,117845
30,0.0,0.0,0.0,0.0,303802,249570,470616,292556
31,0.0,0.0,0.0,0.0,316322,308279,228448,722237
32,0.0,0.0,0.0023761214630780136,2.7605244996549345e-06,458500,243674,1394065,1019810
33,0.0,0.0,0.0,0.0,364995,519314,170364,38365
34,0.0,0.0,0.0,0.0,107838,429037,82486,54912
35,0.0,0.0,0.0,0.0,92683,134160,13426,6385
36,0.0,0.0,0.0,0.0,66873,81895,25835,3697
37,0.0,0.0,0.0,0.0,52123,67110,25091,7588
38,0.0,0.0,0.0,0.0,49337,49615,17232,9348
