sat.id,ISL0,ISL1,ISL2,ISL3,count_ISL0,count_ISL1,count_ISL2,count_ISL3
0,1.4472278645833345,0.0,0.009117187500000002,0.0,32416,6422,30275,924
1,0.41516666666666663,0.17614973958333338,0.0,0.0,28317,29180,2432,11070
2,0.4584804687500002,0.5851471354166663,0.0,0.0,26903,28857,414,13551
3,0.0,0.05892708333333336,0.0,0.0,2889,25269,266,2227
4,0.36607031250000005,0.0,0.0,0.0,25393,2027,459,3440
5,0.00924609375,0.0013020833333333333,0.0,0.0,15896,23555,118,2623
6,0.002575520833333333,0.0002460937500000001,0.0,0.0,14858,15374,179,1017
7,0.0,0.0014843750000000007,0.00012109374999999997,0.0,861,14831,17409,767
8,0.0016354166666666657,0.0,0.00015364583333333338,0.0,21044,1076,20655,823
9,0.0,0.14307421875,0.0,0.0,8593,22149,166,977
10,0.0008906250000000008,0.0,0.0,0.0,25759,10034,928,3535
11,0.0,0.7055338541666666,0.0,0.0,2261,28902,313,4009
12,0.0005703125000000002,0.0,0.0,0.0,18483,5307,698,7838
13,0.5692773437499998,0.04249088541666669,0.0,0.0,29633,20245,4677,16972
14,1.4808177083333338,0.4759127604166663,0.0,0.0,33396,29311,12707,15070
15,0.0,0.0013125000000000003,0.0,1.3020833333333335e-06,10147,27014,8527,22653
16,0.0,0.0,0.0,0.7960143229166663,4276,3387,3262,32269
17,0.0,0.0,0.0,0.0,3787,4368,5631,14460
18,0.0,0.0,0.0,2.604166666666667e-06,1573,3225,2922,17940
19,0.0,0.0,0.0,0.0,1011,1349,486,3181
20,0.0,0.0,0.0,0.0,526,859,410,4612
21,0.0,0.0,0.0,0.0,350,864,225,3009
22,0.0,0.0,0.0,0.0,475,453,378,1269
23,0.0,0.0,0.0,0.008395833333333332,296,543,549,18246
24,0.0,0.0,0.0,0.026371093750000026,591,356,326,21520
25,0.0,0.0,0.0,0.0,593,681,324,1164
26,0.0,0.0,0.0,0.0,2134,719,1166,4149
27,0.0,0.0,0.0,0.0,2592,2050,1252,4656
