sat.id,ISL0,ISL1,ISL2,ISL3,count_ISL0,count_ISL1,count_ISL2,count_ISL3
0,0.0,0.0008320312499999921,0.0059746093750000576,0.0,6491,33647,19228,0
1,0.0,0.0030078124999999545,0.0008085937499999922,0.0,4671,9581,1851,0
2,0.0,0.0005312499999999973,0.0,0.0,4773,6028,715,0
3,0.0,0.0008710937499999912,0.0,0.0,3678,5916,100,0
4,0.0,0.0013593749999999821,0.0,0.0,1559,4415,150,0
5,0.0,0.00014062500000000007,0.0,0.0,1103,1635,212,0
6,4.6875000000000015e-05,3.90625e-06,3.5156250000000004e-05,0.0,1211,1104,241,0
7,0.0,0.0,0.00014648437500000008,0.0,2387,1182,2971,0
8,1.171875e-05,0.0,7.617187500000003e-05,0.0,3676,2387,2919,0
9,0.00023632812500000016,0.0,7.031250000000002e-05,0.0,3828,3664,462,0
10,0.0037734374999999877,0.0,7.226562500000004e-05,0.0,7814,3685,1065,0
11,0.0007070312499999943,0.0,0.0,0.0,8848,5434,133,0
12,0.0034003906249999807,0.0,0.0,0.0,13019,6083,303,0
13,0.040330078125000446,0.0,0.0009082031249999925,0.0,43288,8155,6338,0
14,61.26647851562519,0.0,0.12131835937499832,0.0,91697,21420,33722,0
15,0.0,0.0015253906249999792,0.12354101562499173,0.0,13548,38290,45821,0
16,0.0,0.0,0.028427734374999472,0.00011718750000000008,6427,16463,37904,32397
17,0.0,0.00615820312500005,0.0014648437499999798,0.0,2997,11367,4517,1307
18,0.0,0.0005371093749999975,0.0,0.0,2873,4035,1186,715
19,0.0,0.0005175781249999979,0.0,0.0,2342,3647,137,100
20,0.0,0.000880859374999991,0.0,0.0,1255,2844,216,150
21,0.0,0.00013085937500000006,0.0,0.0,895,1310,369,212
22,4.6875000000000015e-05,7.8125e-06,5.859375000000002e-05,0.0,965,897,483,217
23,0.0,0.0,9.960937500000005e-05,0.0,2260,938,5393,2849
24,0.0,0.0,0.00010546875000000004,5.859374999999999e-06,2879,2260,4770,2873
25,0.00017578125000000013,0.0,7.812500000000004e-05,0.0,3045,2879,815,415
26,0.0043730468750000535,0.0,0.00018164062500000013,0.0,7855,2941,2290,1038
27,0.0026835937499999594,0.0,0.0,0.0,11214,5013,438,133
28,0.00399609375000004,0.0,0.0,0.0,16456,6654,747,303
29,0.012037109375000079,0.0,0.000523437499999998,0.0,28270,9324,10523,5861
30,0.0218046875000001,0.0,15.92368945312494,9.765625e-06,39990,13184,52061,16437
31,0.0,0.0,54.37314843750003,0.001025390624999989,16590,14811,86215,17632
32,0.00010937500000000003,7.8125e-06,27.875720703124944,0.0013085937499999975,16059,18826,69444,45584
33,9.765625e-06,1.0986523437500237,0.004359375000000064,0.0,14049,40598,12402,2987
34,0.0,0.030162109374999992,0.0,0.0,3484,29663,6120,1186
35,0.0,0.0005136718749999977,0.0,0.0,3144,4167,191,137
36,0.0,0.0005332031249999975,0.0,0.0,2726,3517,238,216
37,0.0,0.00014453125000000007,0.0,0.0,2169,2793,765,369
38,5.859375000000002e-05,3.90625e-06,7.031250000000002e-05,0.0,2040,2163,887,419
39,0.0,0.0,9.375000000000007e-05,0.0,1839,2002,7130,5182
40,0.0,0.0,0.00011718750000000005,0.0,1679,1839,5857,4652
41,0.00014062500000000007,0.0,0.00015234375000000008,0.0,1786,1680,1159,718
42,0.0008183593749999924,0.0,5.273437500000001e-05,0.0,3123,1708,2592,2176
43,0.000990234374999989,0.0,0.0,0.0,5147,2578,840,438
44,0.0049023437500000785,0.0,0.0,0.0,11384,4031,1016,747
45,0.006449218750000092,0.0,0.0005371093749999977,0.0,17464,7337,13332,9866
46,0.012388671875000042,0.0,3.053679687500072,0.002925781249999962,27992,9548,37902,24219
47,2.3437499999999994e-05,0.0,10.407070312500084,0.0014921874999999803,20130,13019,58260,24480
48,0.017660156250000086,2.9296875000000002e-05,13.948775390624979,0.31646679687499957,27241,14431,67220,52027
49,0.14658789062499672,3.427042968749964,0.002908203124999957,0.0,33488,35062,14493,7951
50,0.0,92.52685351562506,3.125000000000001e-05,0.0,11108,96422,10711,6120
51,0.0,0.012492187500000211,0.0,0.0,5934,21008,494,191
52,0.0,0.0009023437499999895,0.0,0.0,5501,7410,256,238
53,0.0,0.00046874999999999863,0.0,0.0,4270,6395,1585,765
54,6.445312500000002e-05,0.00012304687500000006,2.9296875e-05,0.0,3684,4869,1137,777
55,0.0,7.031250000000002e-05,6.835937500000003e-05,0.0,2505,3961,8788,6819
56,0.0,2.9296875e-05,0.00012890625000000006,0.0,2423,2631,6765,5661
57,0.0001367187500000001,0.0,0.00014062500000000007,0.0,2741,2423,1460,965
58,0.00036523437500000027,0.0,3.5156250000000004e-05,0.0,3941,2658,2777,2459
59,0.0004882812499999983,0.0,0.0,0.0,4960,3645,1118,840
60,0.015884765625000224,0.0,0.0,0.0,23602,4364,1698,1016
