sat.id,ISL0,ISL1,ISL2,ISL3,count_ISL0,count_ISL1,count_ISL2,count_ISL3
0,0.0,3.125e-05,0.007937499999999995,0.0,2924,11118,12555,1259
1,0.0,0.0,0.0,0.0,2305,5548,2653,8742
2,0.0,0.0,0.0,7.812499999999999e-05,2299,3207,1137,11981
3,0.0,0.0,0.0,0.0,1809,3197,142,3250
4,0.0,0.0,0.0,0.0,1105,2426,180,6866
5,0.0,0.0,0.0,0.0,1016,1100,263,5415
6,0.0,0.0,0.0,0.0,1298,922,302,2185
7,0.0,0.0,0.0,0.0,2379,1043,3133,1700
8,0.0,0.0,0.0,0.0,3520,2146,3008,1790
9,0.0,0.0,0.0,0.0,3603,3376,754,1741
10,0.0,0.0,0.0,0.0,4829,3483,1516,4839
11,0.0,0.0,0.0,0.0,5023,3860,155,4742
12,0.0,0.0,0.0,3.125e-05,7410,4027,441,8565
13,1.4879765625000012,0.0,0.0,0.0,16990,5746,7236,9621
14,18.611437500000022,4.6874999999999994e-05,0.5830781250000001,0.0,26982,9721,16306,8532
15,0.0,0.00023437500000000002,3.4830859375000003,0.0,7984,11306,18064,5097
16,0.0,0.0,2.6595312500000015,0.0016718750000000004,4101,7137,16731,12628
17,0.0,0.0,0.0,0.0010000000000000007,1567,6238,6302,11568
18,0.0,0.0,0.0,0.0011953125000000008,1678,2119,1924,13090
19,0.0,0.0,0.0,0.0,1164,2143,245,3075
20,0.0,0.0,0.0,0.0,849,1505,234,6483
21,0.0,0.0,0.0,0.0,789,881,407,5563
22,0.0,0.0,0.0,0.0,1164,728,593,2384
23,0.0,0.0,0.0,0.0,2339,872,5578,4551
24,0.0,0.0,0.0,0.0,2896,2133,5331,4502
25,0.0,0.0,0.0,0.0,2889,2968,972,2329
26,0.0,0.0,0.0,0.0,4987,2866,2842,5367
27,0.0,0.0,0.0,0.0,6206,3925,538,4901
28,0.00017187500000000002,0.0,0.0,3.90625e-05,9878,4564,1335,8733
29,0.5383281250000003,0.0,0.00028125000000000003,0.012945312499999998,15130,7161,10827,13249
30,0.09595312500000003,0.00041406250000000004,6.3479218749999955,3.7986953125000027,15190,10542,19582,18031
31,0.0,1.5625e-05,19.462023437500008,0.0008750000000000002,6790,8628,26760,12189
32,0.0003203125,0.0,9.8026171875,0.013374999999999984,11277,8583,21596,15047
33,0.00041406250000000015,3.027539062500001,0.0011718750000000006,0.5874218749999999,11050,17661,12167,14494
34,0.0,2.0565312500000004,7.8125e-06,0.6524765624999999,3459,17270,7522,14394
35,0.0,0.0,0.0,0.0,2789,3627,431,3091
36,0.0,0.0,0.0,0.0,2458,2876,314,6284
37,0.0,0.0,0.0,0.0,2065,2434,1761,5607
38,0.0,0.0,0.0,0.0,2043,1991,1104,2611
39,0.0,0.0,0.0,0.0,1779,1806,7526,6731
40,0.0,0.0,0.0,0.0,1725,1719,7042,6334
41,0.0,0.0,0.0,0.0,1778,1871,1365,2446
42,0.0,0.0,0.0,0.0,2592,1753,3016,5139
43,0.0,0.0,0.0,0.0,3951,2330,1384,4727
44,0.00035156249999999993,0.0,0.0,0.00017187500000000002,9403,3453,2671,9044
45,0.0004843750000000001,0.0,0.005640624999999998,0.44337499999999974,10375,6214,13510,14985
46,0.0002265625,7.8125e-06,6.171203125000003,2.9012968750000008,11179,7108,19555,17577
47,2.3437499999999997e-05,0.0,13.531351562500005,0.0011796875000000006,9514,6537,23528,13089
48,0.00643749999999999,8.593750000000001e-05,9.3774765625,1.565828125,14166,9669,21055,16678
49,0.015062500000000005,8.948742187500004,0.022171875000000014,4.7288046874999985,14529,21084,13466,18312
50,0.00046093750000000003,28.104703125000018,0.0006640625000000002,6.471031250000003,10525,32831,11026,19015
51,0.0,0.0920078125,0.0,0.0,4984,13159,959,3264
52,0.0,0.0,0.0,0.0,5389,4979,616,6317
53,0.0,0.0,0.0,0.0,3899,5341,4115,6920
54,0.0,0.0,0.0,0.0,3575,3731,1761,3064
55,0.0,0.0,0.0001328125,0.0,2644,3403,9000,8280
56,0.0,0.0,3.125e-05,0.0,2529,2543,7977,7625
57,0.0,0.0,0.0,0.0,2699,2424,1850,2802
58,0.0,0.0,0.0,0.0,3592,2546,4219,5028
59,0.0,0.0,0.0,0.0,4253,3643,2891,5339
60,1.5517890625000001,0.0,0.0,0.0015234375000000007,16857,4040,5869,10472
61,2.4005859375000003,0.0047421874999999955,0.10536718750000001,2.0282734375000007,17393,12577,15112,16669
62,0.004531249999999993,0.0011562500000000006,4.050078125000004,3.1131562500000007,14317,11465,18074,17941
63,0.006132812499999994,3.90625e-05,6.672515625000003,0.037890625,13660,8637,19721,15432
64,0.002960937499999996,0.0025546874999999984,0.8859531250000003,4.799007812499997,13267,13158,16638,18538
65,0.004906249999999996,10.425953125,0.0007890625000000004,10.097046874999997,13715,21707,11867,22021
66,0.0002109375,18.897375000000004,0.000296875,9.946710937500002,11080,27775,10243,21725
67,3.90625e-05,0.15667187500000007,0.0,0.0,9277,14164,453,2663
68,0.0,0.0007187500000000001,0.0,0.0,7766,10734,2205,6630
69,0.0,3.125e-05,5.4687499999999994e-05,0.0005156250000000001,5278,8255,6238,9530
70,0.0,0.0,0.0,0.0,5291,4899,2089,3620
71,0.0,0.0,0.0005156250000000001,3.90625e-05,4133,4824,9928,9534
72,0.0,0.0,6.25e-05,2.3437499999999997e-05,4044,3703,8265,8382
73,0.0,0.0,0.0,0.0,4518,3624,1982,3119
