sat.id,ISL0,ISL1,ISL2,ISL3,count_ISL0,count_ISL1,count_ISL2,count_ISL3
0,0.0,0.7256728778467909,0.0003450655624568668,0.0,543,3333,2657,0
1,0.0,0.0,0.0,0.0,405,869,324,0
2,0.0,0.0,0.0,0.0,442,600,122,0
3,0.0,0.0,0.0,0.0,302,639,21,0
4,0.0,0.0,0.0,0.0,242,490,28,0
5,0.0,0.0,0.0,0.0,226,188,45,0
6,0.0,0.0,0.0,0.0,293,159,63,0
7,0.0,0.0,0.0,0.0,312,213,100,0
8,0.0,0.0,0.0,0.0,609,258,945,0
9,0.0,0.0,0.0,0.0,579,633,252,0
10,0.0,0.0,0.0,0.0,766,787,333,0
11,0.0,0.0,0.0,0.0,776,743,27,0
12,0.0,0.0,0.0,0.0,1034,836,64,0
13,0.02484472049689441,0.0,0.0,0.0,2922,1059,1242,0
14,22.38543823326432,0.0,1.2267080745341612,0.0,5301,1828,3884,0
15,0.011387163561076602,0.0013802622498274672,0.05210489993098689,0.0,3162,2392,2957,0
16,0.0,0.0,0.0,0.0006901311249137336,507,775,2522,2438
17,0.0,0.0,0.0,0.0,324,985,775,261
18,0.0,0.0,0.0,0.0,349,363,217,133
19,0.0,0.0,0.0,0.0,304,383,33,11
20,0.0,0.0,0.0,0.0,241,353,35,31
21,0.0,0.0,0.0,0.0,195,193,44,34
22,0.0,0.0,0.0,0.0,229,146,91,39
23,0.0,0.0,0.0,0.0,1284,147,998,62
24,0.0,0.0,0.0,0.0,473,1189,717,897
25,0.0,0.0,0.0,0.0,467,680,335,102
26,0.0,0.0,0.0,0.0,743,778,651,249
27,0.0,0.0,0.0,0.0,976,690,81,12
28,0.0,0.0,0.0,0.0,1374,854,141,49
29,0.0010351966873706005,0.0,0.0,0.0,2125,1183,1852,962
30,0.0013802622498274672,0.0,20.275362318840582,0.0,2697,1369,5000,2339
31,0.0,0.0,42.837819185645294,0.0,416,1205,6142,1224
32,0.0,10.267770876466532,2.779503105590061,0.0,2025,4109,3607,2349
33,0.0,10.526915113871635,0.0,0.0,1841,4442,1983,675
34,0.0,0.3295376121463077,0.0,0.0,708,3823,1074,260
35,0.0,0.0,0.0,0.0,639,611,39,23
36,0.0,0.0,0.0,0.0,561,572,51,43
37,0.0,0.0,0.0,0.0,384,520,170,43
38,0.0,0.0,0.0,0.0,396,394,161,77
39,0.0,0.0,0.0,0.0,508,401,1245,1052
40,0.0,0.0,0.0,0.0,319,656,883,614
41,0.0,0.0,0.0,0.0,312,391,384,193
42,0.0,0.0,0.0,0.0,517,355,501,470
43,0.0,0.0,0.0,0.0,788,512,110,44
44,0.0,0.0,0.0,0.0,1409,726,240,111
45,0.0,0.0,0.0010351966873706005,0.0,1663,960,2307,1646
46,0.002070393374741201,0.0,16.553485162180813,0.016218081435472743,2209,908,4599,3203
47,0.5462387853692201,0.0,29.40648723257418,0.0017253278122843342,3407,858,5430,2525
48,11.673567977915802,0.0,0.0,0.034851621808143544,3982,1843,2223,3017
49,4.436853002070394,28.816425120772944,0.0003450655624568668,0.0,3577,5317,2575,1610
50,0.0,63.02311939268467,0.0,0.0,1674,6343,1790,1082
51,0.0,17.21221532091097,0.0,0.0,1227,4800,43,30
52,0.0,1.7025534851621806,0.0,0.0,1071,2441,98,52
53,0.0,0.16390614216701171,0.0,0.0,777,1383,382,175
54,0.0,0.0,0.0,0.0,727,957,190,165
55,0.0,0.0,0.0,0.0,759,856,1325,1272
56,0.0,0.0,0.0,0.0,470,790,1156,938
57,0.0,0.0,0.0,0.0,517,559,393,245
58,0.0,0.0,0.0,0.0,606,555,508,451
59,0.0,0.0,0.0,0.0,736,738,201,100
60,0.013112491373360938,0.0,0.0,0.0,2886,945,320,197
61,0.03657694962042789,0.0,0.021739130434782608,0.0010351966873706005,3351,1805,2899,2300
62,0.002070393374741201,0.0,7.60697032436163,2.32470669427191,2992,1603,4096,3706
63,0.0,0.0,45.05417529330572,0.014492753623188403,1673,1149,6083,2951
64,6.350586611456177,0.0,0.0,0.01518288474810214,3682,1867,1336,2720
65,0.30503795721187005,33.977570738440306,0.0,0.0031055900621118015,3240,5605,2183,2592
66,0.0,39.46618357487922,0.0,0.0,1818,6068,1408,1725
67,0.0,0.0,0.0,0.0,1393,2050,42,24
68,0.0,0.0,0.0,0.0,1169,1426,111,103
69,0.0,0.0,0.0,0.0,1149,1066,488,557
70,0.0,0.0,0.0,0.0,1197,822,188,444
71,0.0,0.0,0.0,0.0,734,882,1371,1633
72,0.0,0.0,0.0,0.0,824,587,1348,1249
73,0.0,0.0,0.0,0.0,803,824,405,275
74,0.0,0.0,0.0,0.0,979,930,538,535
75,1.3305728088336788,0.0,0.0,0.0,2942,1191,221,213
76,3.5324361628709453,0.0,0.0,0.0,5328,1633,323,287
77,51.60524499654934,0.0003450655624568668,0.21187025534851622,0.010351966873706007,6340,2369,3362,3101
78,6.563146997929609,0.029330572808833673,0.12629399585921325,6.829537612146308,4109,2886,3446,4103
79,0.0,0.0,12.75879917184265,22.38750862663906,1610,1885,4360,4824
80,0.0,0.0,0.0,0.0017253278122843342,1469,1882,1723,2382
81,0.0,0.029330572808833687,0.0,0.0013802622498274672,1622,3092,1477,2452
82,0.0,0.0017253278122843342,0.0,0.0,1573,2626,911,1253
83,0.0,0.0006901311249137336,0.0,0.0,1393,2407,41,34
84,0.0,0.0006901311249137336,0.0,0.0,1061,2433,73,132
85,0.05728088336783988,0.0,0.0,0.0,1848,1333,226,739
86,0.002070393374741201,0.0,0.0,0.0,1717,952,112,329
87,0.0,0.0,0.0,0.0,440,1091,1004,1666
88,0.002760524499654935,0.0,0.0,0.0,1375,285,807,1457
89,0.03002070393374742,0.0,0.0,0.0,1425,1248,248,303
90,7.363008971704624,0.0,0.0,0.0,4434,1401,345,673
91,17.194271911663215,0.0,0.0,0.0,5179,1660,131,218
92,21.99654934437543,0.0,0.0,0.0,6071,2174,195,316
93,62.70013802622504,0.02070393374741201,0.0,0.18253968253968259,6343,2995,2023,3457
94,12.332988267770872,3.945824706694271,0.0,3.6997929606625264,4797,3675,1914,3966
95,0.0,0.0024154589371980675,0.002070393374741201,46.84195997239475,1120,2447,2178,5953
96,0.0,0.0013802622498274672,0.0,0.0003450655624568668,507,2195,403,2290
97,0.0,0.0,0.0,0.0,739,990,1187,1801
98,0.0,0.0,0.0,0.0,954,1298,627,940
99,0.0,0.0,0.0,0.0,857,1651,12,34
100,0.0,0.1404416839199448,0.0,0.0,641,1983,25,101
101,0.0,0.0,0.0,0.0,641,551,106,250
102,0.0,0.0,0.0,0.0,634,380,78,151
103,0.0,0.0,0.0,0.0,722,388,472,1016
104,0.0,0.0,0.0,0.0,711,592,357,1065
105,0.0,0.0,0.0,0.0,744,800,109,285
106,0.0,0.0,0.0,0.0,1066,886,84,440
107,0.02829537612146308,0.0,0.0,0.0,2137,1055,29,141
108,0.07522429261559697,0.0,0.0,0.0,2656,1510,55,198
109,18.972049689440997,0.0,0.0,0.0,5341,1885,272,2211
110,0.6152518978605936,0.006901311249137337,0.0,0.0006901311249137336,3812,2513,310,2485
111,0.0,0.0,0.0,21.020013802622497,2413,1926,1776,4997
112,0.0,2.6100759144237404,0.0,0.0,1683,3780,0,507
113,0.0,14.12111801242236,0.0,0.0,1347,5717,0,1658
114,0.0,1.3726708074534162,0.0,0.0,746,3635,0,755
115,0.0,0.0,0.0,0.0,599,964,0,15
116,0.0,0.0,0.0,0.0,515,529,0,34
117,0.0,0.0,0.0,0.0,418,433,0,137
118,0.0,0.0,0.0,0.0,463,368,0,88
119,0.0,0.0,0.0,0.0,615,370,0,480
120,0.0,0.0,0.0,0.0,307,629,0,531
121,0.0,0.0,0.0,0.0,284,520,0,242
122,0.0,0.0,0.0,0.0,520,348,0,95
123,0.0,0.0,0.0,0.0,823,321,0,40
124,0.0,0.0,0.0,0.0,1063,483,0,55
125,0.0,0.0,0.0,0.0,736,594,0,280
126,0.0,0.0,0.0,0.0,825,414,0,403
127,0.0,0.0,0.0,1.5213940648723259,2097,352,0,3480
