ppms,avg_e2e,avg_pd,avg_qd,avg_rd,STATE_1,STATE_2,STATE_3,STATE_-1,STATE_-2,STATE_-3,STATE_0,STATE_10,STATE_11,RETX_0,RETX_1,RETX_2,n_packet,avg_hop,avg_remain_timer,avg_org_timer,avg_num_retx,org_n_packet,dropped_packet,drop_rate
512,252.79731142140173,78.9015263535611,56.907575896233006,116.98820917160761,0,0,0,0,0,207619,182012,75039,0,256000,75039,70005,464670,5.718257962903203,121.51250608085002,257.3216083306441,1.0357867054556664,464670,75039,0.3614264590427658
576,241.08163196598707,78.13982233636814,54.783470645100785,108.15833898451815,0,0,0,0,0,415842,451580,177814,0,544000,177814,167560,1045236,5.644881950356145,121.0963947845576,254.01968776602652,1.2334829093742334,1045236,177814,0.4275999057334276
640,236.74907106437223,77.5357488846399,54.14800191204589,105.06532026768643,0,0,0,0,0,627600,807144,309531,0,864000,309531,294227,1744275,5.590254939451881,119.87772147864882,251.5614722753346,1.4308237731038878,1744275,309531,0.49319789674952197
704,234.59817649439378,77.19896207774894,53.5357928440498,103.86342157259504,0,0,0,0,0,840140,1258545,470707,0,1216000,470707,452770,2569392,5.5451186706977404,118.79558525959959,249.53034018139834,1.638116266336563,2569392,470707,0.5602720975075582
768,232.5555440466699,77.02503499387548,53.06027404029356,102.47023501250086,0,0,0,0,0,1052327,1805820,664265,0,1600000,664265,643433,3522412,5.514047439626656,118.04682574903048,248.13213478319952,1.854110936999621,3522412,664265,0.6312343976729666
832,229.76613749822727,76.86482238115498,52.168897350513284,100.732417766559,0,0,0,0,0,1262169,2456527,893281,0,2016000,893281,868703,4611977,5.480791399566936,117.60189324884385,246.63561298051212,2.0842589225373147,4611977,893281,0.707734859594872
896,229.1019963567167,76.71868841801597,51.55178608915886,100.83152184954189,0,0,0,0,0,1476690,3195458,1153836,0,2464000,1153836,1125395,5825984,5.4540641569997765,117.16241255781512,245.43288706498996,2.3055793700776737,5825984,1153836,0.7813664343904272
960,228.4106199778529,76.63121231910806,51.034932020594944,100.74447563814986,0,0,0,0,0,1690512,4032476,1445942,0,2944000,1445942,1414307,7168930,5.43377627606311,116.85378808313695,244.51993242283996,2.5285570288764587,7168930,1445942,0.8553278533367406
1024,227.22688135154448,76.60433501953673,50.46679964767574,100.15574668433199,0,0,0,0,0,1900522,4974753,1770911,0,3456000,1770911,1736760,8646186,5.418924379723045,116.78046242032453,243.85159708753702,2.7594687143847847,8646186,1770911,0.9318024205981305
